时间,温度(°C),湿度(%),EC(μS/cm),N(mg/kg),P(mg/kg),K(mg/kg)
2024-04-17 16:02:42,23.0,9.5,78,9,12,32
2024-04-17 16:02:43,23.0,9.5,78,9,12,32
2024-04-17 16:02:44,23.0,9.5,78,9,12,32
2024-04-17 16:02:45,23.0,9.5,78,9,12,32
2024-04-17 16:02:46,23.0,9.5,78,9,12,32
2024-04-17 16:02:47,23.0,9.5,78,9,12,32
2024-04-17 16:02:49,23.0,9.5,78,9,12,32
2024-04-17 16:02:50,23.0,9.5,78,9,12,32
2024-04-17 16:02:51,23.0,9.5,78,9,12,32
2024-04-17 16:02:52,23.0,9.4,79,9,12,33
2024-04-17 16:02:53,23.0,9.4,78,9,12,32
2024-04-17 16:02:54,23.0,9.5,78,9,12,32
2024-04-17 16:02:55,23.1,9.5,78,9,12,32
2024-04-17 16:02:56,23.1,9.5,78,9,12,32
2024-04-17 16:02:57,23.1,9.5,78,9,12,32
2024-04-17 16:02:59,23.1,9.5,79,9,12,33
2024-04-17 16:03:00,23.1,9.5,79,9,12,33
2024-04-17 16:03:01,23.1,9.5,78,9,12,32
2024-04-17 16:03:02,23.1,9.5,78,9,12,32
2024-04-17 16:03:03,23.1,9.5,79,9,12,33
2024-04-17 16:03:04,23.1,9.5,78,9,12,32
2024-04-17 16:03:05,23.1,9.5,78,9,12,32
2024-04-17 16:03:06,23.1,9.5,78,9,12,32
2024-04-17 16:10:50,23.8,18.7,100,10,14,36
2024-04-17 16:10:51,23.8,18.7,173,14,19,49
2024-04-17 16:10:52,23.8,33.8,200,15,21,53
2024-04-17 16:10:53,23.8,33.8,200,15,21,53
2024-04-17 16:10:54,23.8,34.1,200,15,21,53
2024-04-17 16:10:55,23.8,34.1,200,15,21,53
2024-04-17 16:10:56,23.8,30.6,200,15,21,53
2024-04-17 16:10:57,23.9,30.6,200,15,21,53
2024-04-17 16:10:58,23.9,29.2,200,15,21,53
2024-04-17 16:11:00,23.8,29.2,200,15,21,53
2024-04-17 16:11:01,23.8,28.5,200,15,21,53
2024-04-17 16:11:02,23.9,28.5,200,15,21,53
2024-04-17 16:11:03,23.9,28.1,200,15,21,53
2024-04-17 16:11:04,23.9,28.1,200,15,21,53
2024-04-17 16:11:05,23.9,27.9,200,15,21,53
2024-04-17 16:11:06,23.9,27.9,200,15,21,53
2024-04-17 16:11:07,23.9,27.7,200,15,21,53
2024-04-17 16:11:08,23.9,27.7,200,15,21,53
2024-04-17 16:11:10,23.9,27.4,200,15,21,53
2024-04-17 16:11:11,23.9,27.4,200,15,21,53
2024-04-17 16:11:12,23.9,27.2,200,15,21,53
2024-04-17 16:11:13,23.9,27.2,200,15,21,53
2024-04-17 16:11:14,23.9,27.0,200,15,21,53
2024-04-17 16:11:15,23.9,27.0,200,15,21,53
2024-04-17 16:11:16,23.9,26.8,200,15,21,53
2024-04-17 16:11:17,23.9,26.8,200,15,21,53
2024-04-17 16:11:18,23.9,26.8,200,15,21,53
2024-04-17 16:11:20,23.9,26.8,200,15,21,53
2024-04-17 16:11:21,23.9,26.7,200,15,21,53
2024-04-17 16:11:22,23.9,26.7,200,15,21,53
2024-04-17 16:11:23,23.9,26.7,200,15,21,53
2024-04-17 16:11:24,23.9,26.7,200,15,21,53
2024-04-17 16:11:25,23.9,26.6,200,15,21,53
2024-04-17 16:11:26,23.9,26.6,200,15,21,53
2024-04-17 16:11:27,23.9,26.6,200,15,21,53
